"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0049T01S","01"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","01","99","99","    0.36"," ","R","23","     2.6"," ","S","29","     2.6"," ","S","29","     0.1"," ","S","29","     0.0"," ","S","29","     0.0"," ","S","29","     0.0"," ","S","29","     0.0"," ","S","29","     0.0"," ","S","29","    0.20"," ","R","23","    0.30"," ","R","23","    0.40"," ","R","23","    0.20"," ","R","23","    0.21"," ","R","23","    0.37"," ","R","23","    0.52"," ","R","23","    0.20"," ","R","23","    0.40"," ","R","23"
"USS0049T01S","02"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","02","99","99","    0.53"," ","R","23","     3.0"," ","S","28","     3.0"," ","S","28","     0.2"," ","S","28","     0.0","X","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","    0.30"," ","R","23","    0.40"," ","R","23","    0.58"," ","R","23","    0.30"," ","R","23","    0.40"," ","R","23","    0.50"," ","R","23","    0.63"," ","R","23","    0.31"," ","R","23","    0.50"," ","R","23"
"USS0049T01S","03"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","03","99","99","    0.37"," ","S","25","     2.9"," ","S","28","     2.9"," ","S","28","     0.1"," ","S","28","     0.1"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","    0.20"," ","S","25","    0.30"," ","S","25","    0.40"," ","S","25","    0.10"," ","S","25","    0.22"," ","S","25","    0.33"," ","S","25","    0.50"," ","S","25","    0.20"," ","S","25","    0.40"," ","S","25"
"USS0049T01S","04"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","04","99","99","    0.40"," ","R","20","     2.5"," ","S","28","     2.5"," ","S","28","     0.3"," ","S","28","     0.0","X","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","    0.20"," ","R","20","    0.30"," ","R","20","    0.39"," ","R","20","    0.20"," ","R","20","    0.26"," ","R","20","    0.33"," ","R","20","    0.40"," ","R","20","    0.22"," ","R","20","    0.38"," ","R","20"
"USS0049T01S","05"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","05","99","99","    0.69"," ","S","25","     3.8"," ","S","27","     3.8"," ","S","27","     0.7"," ","S","27","     0.1"," ","S","27","     0.0","X","S","27","     0.0"," ","S","27","     0.0"," ","S","27","     0.0"," ","S","27","    0.30"," ","S","25","    0.66"," ","S","25","    0.90"," ","S","25","    0.28"," ","S","25","    0.55"," ","S","25","    0.74"," ","S","25","    1.01"," ","S","25","    0.40"," ","S","25","    0.80"," ","S","25"
"USS0049T01S","06"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","06","99","99","    1.81"," ","S","26","     7.9"," ","S","27","     7.9"," ","S","27","     2.2"," ","S","27","     0.7"," ","S","27","     0.1"," ","S","27","     0.0","X","S","27","     0.0"," ","S","27","     0.0"," ","S","27","    1.09"," ","S","26","    1.80"," ","S","26","    2.36"," ","S","26","    1.02"," ","S","26","    1.37"," ","S","26","    1.93"," ","S","26","    2.61"," ","S","26","    1.09"," ","S","26","    2.01"," ","S","26"
"USS0049T01S","07"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","07","99","99","    3.15"," ","S","26","    11.2"," ","S","26","    11.2"," ","S","26","     4.2"," ","S","26","     1.8"," ","S","26","     0.3"," ","S","26","     0.1"," ","S","26","     0.0"," ","S","26","     0.0"," ","S","26","    2.14"," ","S","26","    3.20"," ","S","26","    3.75"," ","S","26","    2.00"," ","S","26","    2.80"," ","S","26","    3.40"," ","S","26","    3.89"," ","S","26","    2.58"," ","S","26","    3.47"," ","S","26"
"USS0049T01S","08"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","08","99","99","    2.85"," ","S","24","    11.5"," ","S","25","    11.5"," ","S","25","     3.8"," ","S","25","     1.3"," ","S","25","     0.2"," ","S","25","     0.0"," ","S","25","     0.0"," ","S","25","     0.0"," ","S","25","    1.93"," ","S","24","    2.65"," ","S","24","    3.27"," ","S","24","    1.90"," ","S","24","    2.49"," ","S","24","    2.84"," ","S","24","    3.98"," ","S","24","    2.37"," ","S","24","    3.13"," ","S","24"
"USS0049T01S","09"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","09","99","99","    1.31"," ","R","21","     8.5"," ","S","25","     8.5"," ","S","25","     1.1"," ","S","25","     0.5"," ","S","25","     0.1"," ","S","25","     0.0"," ","S","25","     0.0"," ","S","25","     0.0"," ","S","25","    0.80"," ","R","21","    1.24"," ","R","21","    1.54"," ","R","21","    0.79"," ","R","21","    1.03"," ","R","21","    1.33"," ","R","21","    1.61"," ","R","21","    0.96"," ","R","21","    1.46"," ","R","21"
"USS0049T01S","10"," 68.6200","-149.3000"," 929.6","Imnaviat Creek, AK US","10","99","99","    0.92"," ","S","24","     5.7"," ","S","28","     5.7"," ","S","28","     0.6"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","     0.0"," ","S","28","    0.60"," ","S","24","    0.89"," ","S","24","    1.16"," ","S","24","    0.50"," ","S","24","    0.83"," ","S","24","    0.99"," ","S","24","    1.18"," ","S","24","    0.77"," ","S","24","    1.09"," ","S","24"
