Month,Depth_range,element,element_symbol,concentration
June,0-20,Iron,Fe,0.794
June,0-20,Aluminum-27 [2],Al,0.976
June,0-20,Antimony-121 [1],Sb,ND
June,0-20,Arsenic-75 [3],As,0.0047
June,0-20,Barium-135 [1],Ba,0.240
June,0-20,Cadmium-111 [1],Cd,ND
June,0-20,Chromium-53 [2],Cr,0.0077
June,0-20,Cobalt-59 [2],Co,ND
June,0-20,Rubidium,Rb,ND
June,0-20,Copper-63 [2],Cu,0.0189
June,0-20,Lead-206 [1],Pb,ND
June,0-20,Manganese-55 [2],Mn,0.0893
June,0-20,Molybdenum-97 [1],Mo,ND
June,0-20,Nickel-60 [2],Ni,0.0054
June,0-20,Selenium-82 [1],Se,ND
June,0-20,Strontium-86 [1],Sr,0.0138
June,0-20,Thallium-205 [1],Tl,ND
June,0-20,Tin-118 [1],Sn,ND
June,0-20,Titanium-47 [2],Ti,0.0032
June,0-20,Vanadium-51 [2],V,0.0125
June,0-20,Zinc-68 [3],Zn,0.0469
June,0-20,Gold,Au,ND
June,0-20,Mercury,Hg,0.000173
June,60-80,Iron,Fe,3.22
June,60-80,Aluminum-27 [2],Al,0.750
June,60-80,Antimony-121 [1],Sb,0.00066
June,60-80,Arsenic-75 [3],As,0.0212
June,60-80,Barium-135 [1],Ba,0.0632
June,60-80,Cadmium-111 [1],Cd,ND
June,60-80,Chromium-53 [2],Cr,0.0093
June,60-80,Cobalt-59 [2],Co,0.0023
June,60-80,Rubidium,Rb,0.0013
June,60-80,Copper-63 [2],Cu,0.0071
June,60-80,Lead-206 [1],Pb,ND
June,60-80,Manganese-55 [2],Mn,0.133
June,60-80,Molybdenum-97 [1],Mo,ND
June,60-80,Nickel-60 [2],Ni,0.0077
June,60-80,Selenium-82 [1],Se,ND
June,60-80,Strontium-86 [1],Sr,0.0068
June,60-80,Thallium-205 [1],Tl,ND
June,60-80,Tin-118 [1],Sn,ND
June,60-80,Titanium-47 [2],Ti,0.0064
June,60-80,Vanadium-51 [2],V,0.0078
June,60-80,Zinc-68 [3],Zn,0.0235
June,60-80,Gold,Au,ND
June,60-80,Mercury,Hg,ND
June,80-100,Iron,Fe,1.94
June,80-100,Aluminum-27 [2],Al,1.37
