ASV silva_kingdom silva_phylum silva_class silva_order silva_family silva_genus silva_species_single silva_species_multiple rdp_kingdom rdp_phylum rdp_class rdp_order rdp_family rdp_genus rdp_species_single rdp_species_multiple decipher_domain decipher_phylum decipher_class decipher_order decipher_family decipher_genus decipher_species
ASV_16S_00001 Bacteria Actinobacteriota Actinobacteria Micrococcales Intrasporangiaceae Oryzihumus NA NA Bacteria Actinobacteria Actinobacteria Micrococcales Intrasporangiaceae Oryzihumus NA NA Bacteria Actinobacteriota Actinobacteria Micrococcales Intrasporangiaceae NA NA
ASV_16S_00002 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00003 Bacteria Bacteroidota Bacteroidia Bacteroidales "Bacteroidetes vadinHA17" NA NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales Marinilabiliaceae NA NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales "Bacteroidetes vadinHA17" NA NA
ASV_16S_00004 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00005 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_00006 Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA NA Bacteria NA NA NA NA NA NA NA Bacteria Caldisericota Caldisericia Caldisericales Caldisericaceae Caldisericum NA
ASV_16S_00007 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA
ASV_16S_00008 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae NA NA NA NA
ASV_16S_00009 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae NA NA NA NA
ASV_16S_00010 Bacteria Actinobacteriota Actinobacteria Micrococcales NA NA NA NA Bacteria Actinobacteria Actinobacteria Micrococcales Demequinaceae Demequina NA NA Bacteria Actinobacteriota Actinobacteria Micrococcales NA NA NA
