ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00001 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00002 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__vinososordida
ASV_ITS_00003 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00004 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00005 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00006 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00007 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00008 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00009 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00010 k__Fungi p__Ascomycota c__Xylonomycetes o__GS34 NA NA NA
ASV_ITS_00011 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__violaceoincarnata
ASV_ITS_00012 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00013 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00014 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00015 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00016 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Clavariaceae g__Clavaria s__sphagnicola
ASV_ITS_00017 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00018 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00019 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__macrocystis
ASV_ITS_00020 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00021 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__bicolor
ASV_ITS_00022 k__Fungi NA NA NA NA NA NA
ASV_ITS_00023 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__violaceoincarnata
ASV_ITS_00024 k__Fungi p__Rozellomycota c__Rozellomycotina_cls_Incertae_sedis o__GS06 NA NA NA
ASV_ITS_00025 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00026 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Clavariaceae g__Clavaria s__sphagnicola
ASV_ITS_00027 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Ascocoryne s__turficola
ASV_ITS_00028 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00029 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00030 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
